高网络包收发场景，例如视频弹幕、电信业务转发等,通用型 g6.通用型 g5.计算型 c6.计算型 c5.密集计算型 ic5.内存型 r6.内存型 r5.高主频通用型 hfg6.高主频计算型 hfc6.高主频内存型 hfr6
各种类型和规模的企业级应用,通用型 g6.通用型 g5.高主频通用型 hfg6
网站和应用服务器,通用型 g6.高主频通用型 hfg6.突发性能实例 t6.突发性能实例 t5.共享标准型 s6
游戏服务器,通用型 g6.高主频通用型 hfg6.高主频通用型 hfg5.高主频计算型 hfc5
中小型数据库系统、缓存、搜索集群,通用型 g6.通用型 g5.高主频通用型 hfg6
计算集群、依赖内存的数据处理,通用型 g6.通用型 g5.高主频通用型 hfg6
Web前端服务器,计算型 c6.计算型 c5.密集计算型 ic5.高主频计算型 hfc6.高主频通用型 hfg5.高主频计算型 hfc5
大型多人在线游戏（MMO）前端,计算型 c6.计算型 c5.密集计算型 ic5.高主频计算型 hfc6
数据分析、批量计算、视频编码,计算型 c6.计算型 c5.密集计算型 ic5.高主频计算型 hfc6.高主频通用型 hfg5.高主频计算型 hfc5
高性能科学和工程应用,计算型 c6.计算型 c5.高主频计算型 hfc6.高主频通用型 hfg5.高主频计算型 hfc5
高性能数据库、内存数据库、数据分析与挖掘、分布式内存缓存、Hadoop、Spark集群以及其他企业大内存需求应用,内存型 r6.内存型 r5.高主频计算型 hfc6
Hadoop MapReduce、HDFS、Hive、HBase等、Spark内存计算、MLlib等、ElasticSearch、日志等,大数据网络增强型 d1ne.大数据型 d1
OLTP、高性能关系型数据库、NoSQL数据库（例如Cassandra、MongoDB、HBase等）、Elasticsearch等搜索场景,本地SSD型 i2g.本地SSD型 i2.本地SSD型 i1
开发环境、构建服务器、代码存储库、微服务、测试和暂存环境等、轻量级数据库、缓存、轻量级企业应用、综合应用服务,共享标准型 s6
轻负载应用、微服务、开发测试压测服务应用,突发性能实例 t6.突发性能实例 t5
